doc_id,item,category,amount,price,discount,store_id,cash_id,receipt_date
260113193932_SEZAIC,Блок розеток 4 места,электротовары,4,1026.26,214.36,2,2,2026-01-13
260113193932_SEZAIC,Набор ключей рожковых 8-19мм,инструменты,1,793.45,0.0,2,2,2026-01-13
260113193932_SEZAIC,Лейка пластиковая 5л,хозтовары,3,392.89,0.0,2,2,2026-01-13
260113193932_SEZAIC,Полка настенная 80см,мебель,3,1609.57,0.0,2,2,2026-01-13
260113193932_SEZAIC,Шкаф купе 2-х дверный,мебель,3,12035.12,0.0,2,2,2026-01-13
260113193932_SEZAIC,Измельчитель ручной,кухонная утварь,5,395.7,73.56,2,2,2026-01-13
260113193932_SEZAIC,Полка настенная 80см,мебель,5,1362.25,142.38,2,2,2026-01-13
260113193932_SEZAIC,Выключатель одноклавишный,электротовары,5,311.77,0.0,2,2,2026-01-13
260113193932_SEZAIC,Ключ разводной 250мм,инструменты,5,654.21,0.0,2,2,2026-01-13
260113193932_SEZAIC,Вешалка прихожая напольная,мебель,2,2734.13,0.0,2,2,2026-01-13
260113193932_QQ62H1,Покрывало на диван,текстиль,2,3367.94,876.24,2,2,2026-01-13
260113193932_LI4P7X,Фонарь уличный солнечный,освещение,2,977.53,189.02,2,2,2026-01-13
260113193932_LI4P7X,Кофейный сервиз 6 персон,посуда,5,3205.99,0.0,2,2,2026-01-13
260113193932_LI4P7X,Скалка деревянная 40см,кухонная утварь,1,343.64,0.0,2,2,2026-01-13
260113193932_LI4P7X,Кофейный сервиз 6 персон,посуда,2,3909.74,0.0,2,2,2026-01-13
260113193932_LI4P7X,Блок розеток 4 места,электротовары,3,734.94,160.49,2,2,2026-01-13
260113193932_LI4P7X,Таблетки для посудомоечной машины 30шт,бытовая химия,4,401.12,111.59,2,2,2026-01-13
260113193932_LI4P7X,Трехфазная розетка 32А,электротовары,4,947.93,0.0,2,2,2026-01-13
260113193932_LI4P7X,Средство для мытья полов 1л,бытовая химия,3,323.98,77.04,2,2,2026-01-13
260113193932_LI4P7X,Консервный нож ручной,кухонная утварь,5,206.59,0.0,2,2,2026-01-13
260113193932_LI4P7X,Прожектор уличный 50Вт,освещение,5,1141.93,0.0,2,2,2026-01-13
260113193932_ITY96T,Ножовка по металлу,инструменты,1,213.17,0.0,2,2,2026-01-13
260113193932_ITY96T,Освежитель воздуха 300мл,бытовая химия,2,231.75,0.0,2,2,2026-01-13
260113193932_ITY96T,Трехфазная розетка 32А,электротовары,3,1266.32,78.44,2,2,2026-01-13
260113193932_ITY96T,Ключ разводной 250мм,инструменты,1,537.99,0.0,2,2,2026-01-13
260113193932_ITY96T,Термоклеевой пистолет 40Вт,инструменты,5,672.13,0.0,2,2,2026-01-13
260113193932_WOB8M3,Аварийный светильник,освещение,1,1055.08,104.03,2,2,2026-01-13
260113193932_WOB8M3,Кабель электрический 3х2.5 100м,электротовары,4,3358.4,557.25,2,2,2026-01-13
260113193932_WOB8M3,Водоочистительный фильтр,сантехника,5,1663.23,220.8,2,2,2026-01-13
260113193932_WOB8M3,Ванна акриловая 170см,сантехника,5,12673.75,0.0,2,2,2026-01-13
260113193932_WOB8M3,Гибкая подводка для воды 50см,сантехника,3,227.48,0.0,2,2,2026-01-13
260113193932_JZLJ8L,Стул кухонный,мебель,2,1199.2,0.0,2,2,2026-01-13
260113193932_JZLJ8L,Кресло компьютерное,мебель,2,8736.79,0.0,2,2,2026-01-13
260113193932_JZLJ8L,Полотенце кухонное 50х70см,текстиль,4,163.72,0.0,2,2,2026-01-13
